beta,bookValue,debtToEquity,dividendRate,dividendYield,earningsGrowth,ebitda,ebitdaMargins,enterpriseToEbitda,enterpriseToRevenue,grossMargins,heldPercentInsiders,heldPercentInstitutions,operatingMargins,payoutRatio,priceToBook,profitMargins,revenueGrowth,sharesOutstanding,trailingEps,PE,ROE,ROCE,log_return
1.155,163.361,117.962,8.0,0.014,0.038,3003303424.0,0.19068001,11.585,2.209,0.52358,0.60141,0.11089,0.13373,0.1407,3.4892051,0.08644,0.032,48281600.0,28.45,19.4,19.2,15.1,0.2889331538936588
0.648,178.956,21.242,3.0,0.0041,-0.119,1348787456.0,0.19011,19.112,3.633,0.4325,0.33546,0.32036,0.12282,0.20629999,4.123919,0.09075,0.058,33228900.0,19.41,38.1,11.6,14.5,-0.128234264
1.205,63.746,161.66,2.0,0.0127,-0.215,2831075072.0,0.05606,13.144,0.737,0.36042,0.77481,0.01235,0.04735,0.3008,2.4851756,0.01903,-0.09,144496000.0,6.65,23.3,11.4,10.8,-0.064043919
0.499,203.961,116.817,2.5,0.0062,0.457,4140932096.0,0.13395001,8.744,1.171,0.26308,0.56573004,0.17508,0.10223,0.0971,1.9942539,0.04682,0.301,56220000.0,25.73,15.8,12.1,11.6,0.1547631238065694
0.545,101.928,0.773,3.0,0.010299999,-0.21,1705975040.0,0.120120004,26.236,3.152,0.41612998,0.28876,0.07893,0.07491,0.3989,2.8451455,0.088549994,-0.062,166903008.0,7.51,38.7,7.18,9.72,0.1031991534196601
0.986,91.979,13.649,5.0,0.012200001,-0.352,383929984.0,0.08162,22.582,1.843,0.23101,0.57707,0.0771,0.07119,0.22850001,4.4694986,0.064050004,-0.017,22627200.0,13.13,32.4,15.8,19.6,-0.165904751
0.482,85.091,9.73,2.25,0.0076,-0.011,4410008064.0,0.1443,13.951,2.013,0.56469,0.47149,0.16676001,0.08249,0.2056,3.4786286,0.05711,-0.156,204868992.0,8.52,34.7,10.5,16.1,0.3892018290662538
0.696,23.116,20.902,0.25,0.005,-0.314,353983488.0,0.10453,18.753,1.96,0.41926998,0.76525,0.02636,0.04808,0.1689,2.18896,0.052270003,0.347,119639000.0,1.48,43.5,5.26,7.37,0.009345608
0.191,29.945,17.464,1.5,0.0063,-0.272,1086525056.0,0.03797,46.514,1.766,0.30906,0.46347,0.31487,0.029830001,0.4573,7.862748,0.02444,0.07,213366000.0,3.29,91.4,10.3,14.2,0.1209264410369286
0.068,64.231,73.183,2.4,0.0074,-0.416,842674240.0,0.2082,15.64,3.256,0.47390997,0.48621,0.00244,0.16995001,0.25030002,4.777288,0.092989996,-0.08,39419800.0,9.58,27.5,20.2,21.2,0.085650191
1.418,182.278,2.359,7.0,0.0177,0.092,2716950016.0,0.10877,8.431,0.917,0.16472,0.76481,0.021259999,0.096920006,0.24270001,2.1714084,0.079840004,0.267,60493600.0,32.96,18.1,16.1,23.3,0.2180285354346471
